Resuming from checkpoint: checkpoints/step_031000
  Resumed at step 31000

============================================================
  Unrealistic 187M — Training
  Parameters: 189,748,992
  Dtype: bfloat16
  Optimizer: AdamW (mlx)
  Memory: 531 MB
============================================================

step 31,880 | loss 1.7778 | lr 8.78e-05 | 943 tok/s
step 31,890 | loss 1.8500 | lr 8.77e-05 | 923 tok/s
step 31,900 | loss 1.7652 | lr 8.76e-05 | 918 tok/s
step 31,910 | loss 1.6331 | lr 8.75e-05 | 945 tok/s
step 31,920 | loss 1.7409 | lr 8.74e-05 | 925 tok/s
step 31,930 | loss 1.8045 | lr 8.74e-05 | 800 tok/s
step 31,940 | loss 1.7430 | lr 8.73e-05 | 753 tok/s
step 31,950 | loss 1.6346 | lr 8.72e-05 | 813 tok/s
step 31,960 | loss 1.8028 | lr 8.71e-05 | 789 tok/s
step 31,970 | loss 1.6333 | lr 8.70e-05 | 791 tok/s
step 31,980 | loss 1.5557 | lr 8.69e-05 | 830 tok/s
step 31,990 | loss 1.6390 | lr 8.68e-05 | 766 tok/s
step 32,000 | loss 1.7101 | lr 8.68e-05 | 853 tok/s
  [eval] step 32000 | val_loss 1.8331 | ppl 6.25
Checkpoint saved: checkpoints/step_032000
step 32,010 | loss 1.8077 | lr 8.67e-05 | 379 tok/s
step 32,020 | loss 1.9487 | lr 8.66e-05 | 928 tok/s
step 32,030 | loss 1.6803 | lr 8.65e-05 | 935 tok/s
step 32,040 | loss 1.9181 | lr 8.64e-05 | 960 tok/s
step 32,050 | loss 1.7482 | lr 8.63e-05 | 965 tok/s
step 32,060 | loss 1.6536 | lr 8.62e-05 | 952 tok/s
step 32,070 | loss 1.5826 | lr 8.62e-05 | 946 tok/s
step 32,080 | loss 1.7881 | lr 8.61e-05 | 946 tok/s
step 32,090 | loss 1.7682 | lr 8.60e-05 | 853 tok/s
step 32,100 | loss 1.6517 | lr 8.59e-05 | 891 tok/s
step 32,110 | loss 1.8463 | lr 8.58e-05 | 866 tok/s
step 32,120 | loss 1.8129 | lr 8.57e-05 | 858 tok/s
step 32,130 | loss 1.7963 | lr 8.56e-05 | 861 tok/s
step 32,140 | loss 1.7358 | lr 8.56e-05 | 866 tok/s
step 32,150 | loss 1.7086 | lr 8.55e-05 | 871 tok/s
step 32,160 | loss 1.7573 | lr 8.54e-05 | 805 tok/s
step 32,170 | loss 1.7616 | lr 8.53e-05 | 833 tok/s
step 32,180 | loss 2.0961 | lr 8.52e-05 | 877 tok/s
step 32,190 | loss 1.5153 | lr 8.51e-05 | 843 tok/s
step 32,200 | loss 1.9747 | lr 8.50e-05 | 848 tok/s
step 32,210 | loss 1.7338 | lr 8.50e-05 | 802 tok/s
step 32,220 | loss 1.6851 | lr 8.49e-05 | 899 tok/s
step 32,230 | loss 1.6325 | lr 8.48e-05 | 827 tok/s
step 32,240 | loss 1.8169 | lr 8.47e-05 | 850 tok/s
step 32,250 | loss 1.8441 | lr 8.46e-05 | 868 tok/s
step 32,260 | loss 1.9744 | lr 8.45e-05 | 854 tok/s
step 32,270 | loss 1.5884 | lr 8.45e-05 | 872 tok/s
step 32,280 | loss 1.7725 | lr 8.44e-05 | 906 tok/s
step 32,290 | loss 1.7803 | lr 8.43e-05 | 935 tok/s
step 32,300 | loss 1.8851 | lr 8.42e-05 | 997 tok/s
step 32,310 | loss 1.8300 | lr 8.41e-05 | 991 tok/s
step 32,320 | loss 1.6482 | lr 8.40e-05 | 1004 tok/s
step 32,330 | loss 1.6164 | lr 8.39e-05 | 1014 tok/s
step 32,340 | loss 1.8312 | lr 8.39e-05 | 1011 tok/s
step 32,350 | loss 1.9387 | lr 8.38e-05 | 961 tok/s
step 32,360 | loss 1.8102 | lr 8.37e-05 | 1004 tok/s
step 32,370 | loss 1.4955 | lr 8.36e-05 | 1009 tok/s
step 32,380 | loss 1.9287 | lr 8.35e-05 | 948 tok/s
step 32,390 | loss 1.8880 | lr 8.34e-05 | 863 tok/s
step 32,400 | loss 1.5650 | lr 8.33e-05 | 902 tok/s
step 32,410 | loss 1.8873 | lr 8.33e-05 | 864 tok/s
step 32,420 | loss 1.7473 | lr 8.32e-05 | 851 tok/s
step 32,430 | loss 1.8424 | lr 8.31e-05 | 845 tok/s
step 32,440 | loss 1.6202 | lr 8.30e-05 | 806 tok/s
step 32,450 | loss 1.6917 | lr 8.29e-05 | 796 tok/s
step 32,460 | loss 1.7639 | lr 8.28e-05 | 822 tok/s
step 32,470 | loss 1.7304 | lr 8.28e-05 | 847 tok/s
step 32,480 | loss 1.7575 | lr 8.27e-05 | 796 tok/s
step 32,490 | loss 1.8406 | lr 8.26e-05 | 775 tok/s
step 32,500 | loss 1.9037 | lr 8.25e-05 | 817 tok/s
  [eval] step 32500 | val_loss 1.8230 | ppl 6.19
step 32,510 | loss 1.5428 | lr 8.24e-05 | 352 tok/s
step 32,520 | loss 1.7736 | lr 8.23e-05 | 762 tok/s
step 32,530 | loss 2.1673 | lr 8.22e-05 | 829 tok/s
step 32,540 | loss 1.9516 | lr 8.22e-05 | 818 tok/s
step 32,550 | loss 1.6795 | lr 8.21e-05 | 822 tok/s
step 32,560 | loss 1.8419 | lr 8.20e-05 | 861 tok/s
step 32,570 | loss 1.6823 | lr 8.19e-05 | 833 tok/s
step 32,580 | loss 1.6934 | lr 8.18e-05 | 805 tok/s
step 32,590 | loss 1.6888 | lr 8.17e-05 | 850 tok/s
step 32,600 | loss 1.6889 | lr 8.17e-05 | 842 tok/s
step 32,610 | loss 1.7744 | lr 8.16e-05 | 836 tok/s
step 32,620 | loss 1.6811 | lr 8.15e-05 | 876 tok/s
step 32,630 | loss 1.9338 | lr 8.14e-05 | 825 tok/s
step 32,640 | loss 2.1020 | lr 8.13e-05 | 828 tok/s
step 32,650 | loss 1.7372 | lr 8.12e-05 | 842 tok/s
step 32,660 | loss 1.7078 | lr 8.12e-05 | 862 tok/s
step 32,670 | loss 1.6408 | lr 8.11e-05 | 853 tok/s
step 32,680 | loss 1.8652 | lr 8.10e-05 | 873 tok/s
step 32,690 | loss 1.6981 | lr 8.09e-05 | 841 tok/s
step 32,700 | loss 1.9242 | lr 8.08e-05 | 862 tok/s
step 32,710 | loss 1.6390 | lr 8.07e-05 | 885 tok/s
step 32,720 | loss 1.7297 | lr 8.06e-05 | 846 tok/s
step 32,730 | loss 1.9417 | lr 8.06e-05 | 901 tok/s
step 32,740 | loss 1.7946 | lr 8.05e-05 | 906 tok/s
step 32,750 | loss 1.8278 | lr 8.04e-05 | 905 tok/s
step 32,760 | loss 1.7307 | lr 8.03e-05 | 911 tok/s
step 32,770 | loss 1.5342 | lr 8.02e-05 | 996 tok/s
step 32,780 | loss 1.8012 | lr 8.01e-05 | 1002 tok/s
step 32,790 | loss 1.9693 | lr 8.01e-05 | 1012 tok/s
step 32,800 | loss 1.7195 | lr 8.00e-05 | 1008 tok/s
step 32,810 | loss 1.8693 | lr 7.99e-05 | 1008 tok/s
step 32,820 | loss 1.8751 | lr 7.98e-05 | 1007 tok/s
step 32,830 | loss 1.6454 | lr 7.97e-05 | 1015 tok/s
step 32,840 | loss 1.8175 | lr 7.96e-05 | 1015 tok/s
step 32,850 | loss 1.9357 | lr 7.96e-05 | 992 tok/s
step 32,860 | loss 1.7418 | lr 7.95e-05 | 940 tok/s
step 32,870 | loss 1.8094 | lr 7.94e-05 | 807 tok/s
step 32,880 | loss 1.7937 | lr 7.93e-05 | 868 tok/s
step 32,890 | loss 1.8825 | lr 7.92e-05 | 869 tok/s
step 32,900 | loss 1.8310 | lr 7.91e-05 | 799 tok/s
step 32,910 | loss 1.8890 | lr 7.91e-05 | 743 tok/s
step 32,920 | loss 1.7126 | lr 7.90e-05 | 901 tok/s
step 32,930 | loss 1.7431 | lr 7.89e-05 | 903 tok/s
step 32,940 | loss 1.7865 | lr 7.88e-05 | 883 tok/s
step 32,950 | loss 1.6993 | lr 7.87e-05 | 919 tok/s
step 32,960 | loss 2.1051 | lr 7.86e-05 | 929 tok/s
step 32,970 | loss 1.6687 | lr 7.86e-05 | 907 tok/s
step 32,980 | loss 1.8141 | lr 7.85e-05 | 796 tok/s
step 32,990 | loss 1.8725 | lr 7.84e-05 | 917 tok/s
step 33,000 | loss 1.9760 | lr 7.83e-05 | 919 tok/s
  [eval] step 33000 | val_loss 1.8055 | ppl 6.08
Checkpoint saved: checkpoints/step_033000
step 33,010 | loss 1.7247 | lr 7.82e-05 | 391 tok/s
step 33,020 | loss 1.6038 | lr 7.81e-05 | 827 tok/s
step 33,030 | loss 1.6167 | lr 7.81e-05 | 933 tok/s
step 33,040 | loss 1.8637 | lr 7.80e-05 | 905 tok/s
step 33,050 | loss 1.6241 | lr 7.79e-05 | 969 tok/s
step 33,060 | loss 1.8662 | lr 7.78e-05 | 924 tok/s
step 33,070 | loss 1.6503 | lr 7.77e-05 | 846 tok/s
step 33,080 | loss 2.0005 | lr 7.76e-05 | 860 tok/s
step 33,090 | loss 1.8552 | lr 7.76e-05 | 860 tok/s
step 33,100 | loss 1.7619 | lr 7.75e-05 | 853 tok/s
step 33,110 | loss 1.7931 | lr 7.74e-05 | 845 tok/s
step 33,120 | loss 1.8301 | lr 7.73e-05 | 850 tok/s
step 33,130 | loss 1.7865 | lr 7.72e-05 | 829 tok/s
step 33,140 | loss 1.8394 | lr 7.71e-05 | 858 tok/s
step 33,150 | loss 1.6844 | lr 7.71e-05 | 854 tok/s
step 33,160 | loss 1.9359 | lr 7.70e-05 | 848 tok/s
step 33,170 | loss 1.7668 | lr 7.69e-05 | 863 tok/s
step 33,180 | loss 1.8096 | lr 7.68e-05 | 931 tok/s
step 33,190 | loss 1.5620 | lr 7.67e-05 | 894 tok/s
step 33,200 | loss 1.8454 | lr 7.67e-05 | 927 tok/s
step 33,210 | loss 1.8829 | lr 7.66e-05 | 902 tok/s
step 33,220 | loss 1.8003 | lr 7.65e-05 | 860 tok/s
step 33,230 | loss 1.7710 | lr 7.64e-05 | 682 tok/s
step 33,240 | loss 2.1080 | lr 7.63e-05 | 741 tok/s
step 33,250 | loss 1.6731 | lr 7.62e-05 | 685 tok/s
step 33,260 | loss 1.7706 | lr 7.62e-05 | 654 tok/s
step 33,270 | loss 1.8635 | lr 7.61e-05 | 452 tok/s
step 33,280 | loss 1.5260 | lr 7.60e-05 | 485 tok/s
step 33,290 | loss 1.8925 | lr 7.59e-05 | 559 tok/s
step 33,300 | loss 1.5590 | lr 7.58e-05 | 816 tok/s
step 33,310 | loss 1.8568 | lr 7.57e-05 | 808 tok/s
step 33,320 | loss 1.4291 | lr 7.57e-05 | 831 tok/s
step 33,330 | loss 1.8353 | lr 7.56e-05 | 759 tok/s
