Resuming from checkpoint: checkpoints/step_011000
  Resumed at step 11000

============================================================
  Unrealistic 187M — Training
  Parameters: 189,748,992
  Dtype: bfloat16
  Optimizer: AdamW (mlx)
  Micro-batch: 1 × 8 accum
  Effective batch: 8
  Memory: 536 MB
============================================================

step 11,390 | loss 4.2350 | lr 1.68e-04 | 1333 tok/s | fwd_bwd 19ms clip 22ms optim 122ms step 6117ms mem 1493/3928MB
step 11,400 | loss 4.0159 | lr 1.67e-04 | 1332 tok/s | fwd_bwd 11ms clip 20ms optim 111ms step 6113ms mem 1493/3928MB
step 11,410 | loss 4.1921 | lr 1.67e-04 | 1338 tok/s | fwd_bwd 5ms clip 20ms optim 111ms step 6091ms mem 1493/3928MB
step 11,420 | loss 4.5370 | lr 1.67e-04 | 1342 tok/s | fwd_bwd 8ms clip 20ms optim 111ms step 6089ms mem 1493/3928MB
step 11,430 | loss 3.9489 | lr 1.67e-04 | 1340 tok/s | fwd_bwd 4ms clip 20ms optim 111ms step 6098ms mem 1493/3928MB
step 11,440 | loss 3.9392 | lr 1.67e-04 | 1338 tok/s | fwd_bwd 13ms clip 20ms optim 111ms step 6132ms mem 1493/3928MB
step 11,450 | loss 4.6288 | lr 1.66e-04 | 1338 tok/s | fwd_bwd 5ms clip 20ms optim 111ms step 6103ms mem 1452/3928MB
step 11,460 | loss 4.4182 | lr 1.66e-04 | 1341 tok/s | fwd_bwd 10ms clip 20ms optim 111ms step 6086ms mem 1452/3928MB
step 11,470 | loss 2.5393 | lr 1.66e-04 | 1341 tok/s | fwd_bwd 15ms clip 20ms optim 111ms step 6102ms mem 1493/3928MB
step 11,480 | loss 4.6952 | lr 1.66e-04 | 1335 tok/s | fwd_bwd 3ms clip 20ms optim 111ms step 6102ms mem 1452/3928MB
step 11,490 | loss 4.6614 | lr 1.66e-04 | 1337 tok/s | fwd_bwd 11ms clip 20ms optim 111ms step 6100ms mem 1493/3928MB
step 11,500 | loss 3.1336 | lr 1.66e-04 | 1341 tok/s | fwd_bwd 10ms clip 20ms optim 111ms step 6084ms mem 1493/3928MB
  [eval] step 11500 | val_loss 4.5934 | ppl 98.83
step 11,510 | loss 4.4999 | lr 1.65e-04 | 523 tok/s | fwd_bwd 8ms clip 20ms optim 111ms step 6136ms mem 1493/3928MB
step 11,520 | loss 4.6611 | lr 1.65e-04 | 1333 tok/s | fwd_bwd 19ms clip 20ms optim 111ms step 6191ms mem 1452/3928MB
step 11,530 | loss 4.3299 | lr 1.65e-04 | 1334 tok/s | fwd_bwd 17ms clip 20ms optim 111ms step 6162ms mem 1493/3928MB
step 11,540 | loss 4.3630 | lr 1.65e-04 | 1330 tok/s | fwd_bwd 19ms clip 24ms optim 118ms step 6225ms mem 1493/3928MB
step 11,550 | loss 4.6928 | lr 1.65e-04 | 1332 tok/s | fwd_bwd 12ms clip 20ms optim 111ms step 6135ms mem 1493/3928MB
Checkpoint saved: checkpoints/step_011551
step 11,560 | loss 3.4564 | lr 1.64e-04 | 1291 tok/s | fwd_bwd 8ms clip 20ms optim 111ms step 6194ms mem 1493/3928MB
step 11,570 | loss 5.0820 | lr 1.64e-04 | 1323 tok/s | fwd_bwd 6ms clip 20ms optim 111ms step 6168ms mem 1493/3928MB
step 11,580 | loss 4.1729 | lr 1.64e-04 | 1332 tok/s | fwd_bwd 11ms clip 20ms optim 111ms step 6011ms mem 1493/3928MB
step 11,590 | loss 4.0875 | lr 1.64e-04 | 1338 tok/s | fwd_bwd 12ms clip 20ms optim 111ms step 6094ms mem 1493/3928MB
step 11,600 | loss 4.0463 | lr 1.64e-04 | 1338 tok/s | fwd_bwd 5ms clip 20ms optim 111ms step 6112ms mem 1452/3928MB
step 11,610 | loss 4.3971 | lr 1.63e-04 | 1333 tok/s | fwd_bwd 7ms clip 20ms optim 111ms step 6143ms mem 1493/3928MB
step 11,620 | loss 4.4701 | lr 1.63e-04 | 1334 tok/s | fwd_bwd 8ms clip 20ms optim 111ms step 6116ms mem 1493/3928MB
step 11,630 | loss 4.3139 | lr 1.63e-04 | 1337 tok/s | fwd_bwd 15ms clip 20ms optim 111ms step 6109ms mem 1493/3928MB
step 11,640 | loss 4.2876 | lr 1.63e-04 | 1336 tok/s | fwd_bwd 10ms clip 20ms optim 111ms step 6035ms mem 1493/3928MB
step 11,650 | loss 4.4032 | lr 1.63e-04 | 1337 tok/s | fwd_bwd 19ms clip 23ms optim 120ms step 6160ms mem 1493/3928MB
step 11,660 | loss 4.5423 | lr 1.62e-04 | 1342 tok/s | fwd_bwd 6ms clip 20ms optim 111ms step 6089ms mem 1493/3928MB
step 11,670 | loss 4.6063 | lr 1.62e-04 | 1340 tok/s | fwd_bwd 11ms clip 20ms optim 111ms step 6102ms mem 1493/3928MB
step 11,680 | loss 4.1831 | lr 1.62e-04 | 1333 tok/s | fwd_bwd 6ms clip 20ms optim 112ms step 6106ms mem 1493/3928MB
