Policy from: checkpoints/step_351789
Ref from: baselines/pre_phase7d
Params: 189,748,992 | DPO beta=0.5 lr=1e-06 ga=4
Pairs: train 4000, eval 200
Checkpoint saved: checkpoints/step_352250
  [samples] wrote checkpoints/step_352250/samples.txt
  Pruning old checkpoint: checkpoints/step_351500
step 352,255 | loss 0.1450 | margin -0.315 | 4.0s/step
step 352,260 | loss 0.0717 | margin +2.295 | 4.1s/step
step 352,265 | loss 0.0113 | margin -12.622 | 4.0s/step
step 352,270 | loss 0.0004 | margin +0.942 | 3.9s/step
step 352,275 | loss 0.0009 | margin -3.494 | 4.0s/step
step 352,280 | loss 0.0678 | margin -1.889 | 3.9s/step
step 352,285 | loss 0.0053 | margin +15.538 | 3.9s/step
step 352,290 | loss 0.1795 | margin +1.048 | 4.0s/step
step 352,295 | loss 0.0085 | margin +20.435 | 4.0s/step
step 352,300 | loss 0.4811 | margin +9.624 | 3.9s/step
step 352,305 | loss 0.0176 | margin -4.548 | 4.0s/step
step 352,310 | loss 0.1859 | margin +9.528 | 4.0s/step
step 352,315 | loss 7.3919 | margin -7.770 | 3.9s/step
step 352,320 | loss 0.1158 | margin -2.411 | 3.9s/step
step 352,325 | loss 0.0036 | margin -1.918 | 3.9s/step
step 352,330 | loss 4.8187 | margin -11.011 | 3.9s/step
step 352,335 | loss 0.0020 | margin -16.630 | 4.0s/step
step 352,340 | loss 0.0013 | margin +10.196 | 3.9s/step
step 352,345 | loss 5.6829 | margin +1.343 | 3.9s/step
step 352,350 | loss 7.5510 | margin -13.705 | 3.9s/step
step 352,355 | loss 0.5086 | margin -0.756 | 3.8s/step
step 352,360 | loss 0.0004 | margin +7.804 | 3.9s/step
step 352,365 | loss 0.1118 | margin +1.427 | 3.9s/step
step 352,370 | loss 6.4736 | margin +1.544 | 4.0s/step
step 352,375 | loss 0.0029 | margin +12.820 | 3.9s/step
step 352,380 | loss 0.0000 | margin -2.021 | 4.0s/step
step 352,385 | loss 2.8062 | margin -1.969 | 3.9s/step
step 352,390 | loss 0.0000 | margin +32.635 | 3.9s/step
step 352,395 | loss 0.1393 | margin -6.044 | 3.9s/step
step 352,400 | loss 2.8914 | margin +5.839 | 3.9s/step
step 352,405 | loss 1.3125 | margin +2.766 | 4.0s/step
step 352,410 | loss 5.8645 | margin +2.328 | 3.9s/step
step 352,415 | loss 1.0565 | margin +13.050 | 4.0s/step
step 352,420 | loss 2.9451 | margin -32.373 | 3.9s/step
step 352,425 | loss 0.0382 | margin -6.916 | 3.9s/step
step 352,430 | loss 0.1675 | margin -9.911 | 3.9s/step
step 352,435 | loss 0.2759 | margin -16.099 | 4.0s/step
step 352,440 | loss 0.9781 | margin +7.690 | 3.9s/step
step 352,445 | loss 14.6183 | margin -40.041 | 4.0s/step
step 352,450 | loss 3.7076 | margin +5.142 | 3.9s/step
step 352,455 | loss 0.0004 | margin -15.224 | 4.0s/step
step 352,460 | loss 0.0031 | margin +8.027 | 3.9s/step
step 352,465 | loss 0.3036 | margin -3.026 | 3.9s/step
step 352,470 | loss 1.1147 | margin +3.134 | 3.9s/step
step 352,475 | loss 0.1585 | margin +13.151 | 3.9s/step
step 352,480 | loss 1.2794 | margin -14.792 | 4.0s/step
step 352,485 | loss 0.0000 | margin +25.864 | 3.9s/step
step 352,490 | loss 0.0582 | margin +11.678 | 3.9s/step
step 352,495 | loss 0.1693 | margin +10.051 | 4.0s/step
step 352,500 | loss 0.0471 | margin -2.761 | 3.9s/step
  [eval] step 352500 | loss 2.4335 | win-rate 51/100
Checkpoint saved: checkpoints/step_352500
  [samples] wrote checkpoints/step_352500/samples.txt
  Pruning old checkpoint: checkpoints/step_351789
step 352,505 | loss 0.0302 | margin +12.199 | 4.0s/step
step 352,510 | loss 0.0001 | margin -8.364 | 3.9s/step
step 352,515 | loss 4.9081 | margin -7.058 | 3.9s/step
step 352,520 | loss 8.7964 | margin -6.227 | 4.0s/step
step 352,525 | loss 0.0088 | margin -24.417 | 3.9s/step
step 352,530 | loss 0.4853 | margin -8.212 | 4.0s/step
step 352,535 | loss 0.1400 | margin -6.596 | 3.9s/step
step 352,540 | loss 2.6698 | margin +14.570 | 3.9s/step
step 352,545 | loss 0.1443 | margin +5.274 | 3.9s/step
step 352,550 | loss 1.8229 | margin -15.347 | 3.9s/step
step 352,555 | loss 0.0175 | margin +14.420 | 3.9s/step
step 352,560 | loss 0.0010 | margin +46.336 | 3.9s/step
step 352,565 | loss 0.0002 | margin +9.074 | 3.9s/step
step 352,570 | loss 3.7676 | margin +6.257 | 3.9s/step
step 352,575 | loss 12.2492 | margin -19.238 | 3.9s/step
step 352,580 | loss 1.3464 | margin +2.658 | 3.9s/step
step 352,585 | loss 0.0455 | margin +7.500 | 3.9s/step
step 352,590 | loss 0.0033 | margin +25.736 | 3.9s/step
step 352,595 | loss 3.9496 | margin -5.364 | 3.8s/step
step 352,600 | loss 0.2528 | margin +1.637 | 3.9s/step
step 352,605 | loss 3.0993 | margin +12.360 | 3.9s/step
step 352,610 | loss 2.3676 | margin +2.688 | 3.8s/step
step 352,615 | loss 2.1051 | margin -1.667 | 4.0s/step
step 352,620 | loss 0.5481 | margin +0.515 | 3.9s/step
step 352,625 | loss 8.1779 | margin -6.059 | 3.9s/step
step 352,630 | loss 0.0438 | margin -13.459 | 4.0s/step
step 352,635 | loss 0.3515 | margin -2.230 | 3.9s/step
step 352,640 | loss 2.9841 | margin -16.731 | 4.0s/step
step 352,645 | loss 0.2472 | margin -1.094 | 3.9s/step
step 352,650 | loss 0.0022 | margin -5.737 | 4.0s/step
step 352,655 | loss 0.0134 | margin +17.085 | 3.9s/step
step 352,660 | loss 0.0000 | margin +16.621 | 4.0s/step
step 352,665 | loss 0.0516 | margin -5.047 | 4.0s/step
step 352,670 | loss 10.8548 | margin +2.312 | 4.0s/step
step 352,675 | loss 0.0411 | margin +9.060 | 3.8s/step
step 352,680 | loss 8.7361 | margin -17.168 | 3.8s/step
step 352,685 | loss 0.0000 | margin +39.003 | 3.9s/step
step 352,690 | loss 6.1544 | margin +14.811 | 4.0s/step
step 352,695 | loss 0.6136 | margin -10.013 | 4.2s/step
step 352,700 | loss 12.0427 | margin -18.163 | 4.2s/step
