Resuming from checkpoint: checkpoints/step_239000
  Resumed at step 239000

============================================================
  Unrealistic 187M — Training
  Parameters: 189,748,992
  Dtype: bfloat16
  Optimizer: AdamW (mlx)
  Micro-batch: 1 × 8 accum
  Effective batch: 8
  Memory: 534 MB
============================================================

step 239,000 | loss 0.4974 | lr 2.43e-04 | 0 tok/s | fwd_bwd 4899ms data 70ms clip 25ms optim 451ms step 5461ms mem 1493/2587MB
  [eval] step 239000 | val_loss 1.9423 | ppl 6.97
Checkpoint saved: checkpoints/step_239000
  [samples] wrote checkpoints/step_239000/samples.txt
step 239,010 | loss 2.5667 | lr 2.43e-04 | 777 tok/s | fwd_bwd 4746ms data 0ms clip 20ms optim 111ms step 4884ms mem 1493/3311MB
step 239,020 | loss 2.2603 | lr 2.43e-04 | 1666 tok/s | fwd_bwd 4748ms data 0ms clip 20ms optim 110ms step 4884ms mem 1493/3311MB
step 239,030 | loss 1.6824 | lr 2.43e-04 | 1663 tok/s | fwd_bwd 4760ms data 1ms clip 20ms optim 115ms step 4910ms mem 1493/3311MB
step 239,040 | loss 1.7280 | lr 2.43e-04 | 1635 tok/s | fwd_bwd 5001ms data 0ms clip 22ms optim 123ms step 5153ms mem 1493/3311MB
step 239,050 | loss 2.1184 | lr 2.43e-04 | 1523 tok/s | fwd_bwd 5361ms data 1ms clip 20ms optim 111ms step 5509ms mem 1493/3311MB
step 239,060 | loss 0.7247 | lr 2.43e-04 | 1329 tok/s | fwd_bwd 5903ms data 0ms clip 21ms optim 120ms step 6052ms mem 1493/3311MB
step 239,070 | loss 1.4653 | lr 2.43e-04 | 1236 tok/s | fwd_bwd 6192ms data 1ms clip 23ms optim 119ms step 6348ms mem 1493/3311MB
step 239,080 | loss 1.9124 | lr 2.43e-04 | 1288 tok/s | fwd_bwd 6196ms data 0ms clip 22ms optim 119ms step 6345ms mem 1493/3311MB
step 239,090 | loss 1.6478 | lr 2.43e-04 | 1305 tok/s | fwd_bwd 6092ms data 0ms clip 22ms optim 118ms step 6240ms mem 1493/3311MB
step 239,100 | loss 2.2446 | lr 2.43e-04 | 1310 tok/s | fwd_bwd 6062ms data 0ms clip 22ms optim 118ms step 6213ms mem 1493/3311MB
step 239,110 | loss 1.8672 | lr 2.43e-04 | 1308 tok/s | fwd_bwd 6046ms data 1ms clip 21ms optim 119ms step 6199ms mem 1493/3311MB
step 239,120 | loss 1.2552 | lr 2.43e-04 | 1303 tok/s | fwd_bwd 6174ms data 0ms clip 20ms optim 117ms step 6315ms mem 1493/3311MB
step 239,130 | loss 1.8323 | lr 2.43e-04 | 1289 tok/s | fwd_bwd 6223ms data 0ms clip 23ms optim 125ms step 6379ms mem 1493/3311MB
step 239,140 | loss 2.0075 | lr 2.43e-04 | 1268 tok/s | fwd_bwd 6346ms data 0ms clip 22ms optim 119ms step 6491ms mem 1493/3311MB
step 239,150 | loss 1.5856 | lr 2.43e-04 | 1270 tok/s | fwd_bwd 6251ms data 0ms clip 21ms optim 120ms step 6402ms mem 1493/3311MB
step 239,160 | loss 2.2170 | lr 2.43e-04 | 1246 tok/s | fwd_bwd 6501ms data 0ms clip 23ms optim 121ms step 6651ms mem 1493/3311MB
step 239,170 | loss 1.3122 | lr 2.43e-04 | 1222 tok/s | fwd_bwd 6617ms data 0ms clip 38ms optim 170ms step 6829ms mem 1493/3311MB
step 239,180 | loss 0.6411 | lr 2.43e-04 | 1258 tok/s | fwd_bwd 5962ms data 1ms clip 20ms optim 111ms step 6106ms mem 1493/3311MB
step 239,190 | loss 0.5385 | lr 2.43e-04 | 1327 tok/s | fwd_bwd 6002ms data 0ms clip 20ms optim 112ms step 6143ms mem 1493/3311MB
step 239,200 | loss 2.6803 | lr 2.43e-04 | 1339 tok/s | fwd_bwd 5887ms data 0ms clip 20ms optim 113ms step 6027ms mem 1493/3311MB
step 239,210 | loss 1.5034 | lr 2.43e-04 | 1281 tok/s | fwd_bwd 6086ms data 1ms clip 20ms optim 113ms step 6228ms mem 1448/3311MB
step 239,220 | loss 2.1816 | lr 2.43e-04 | 1320 tok/s | fwd_bwd 6030ms data 0ms clip 20ms optim 112ms step 6168ms mem 1493/3311MB
step 239,230 | loss 1.4291 | lr 2.43e-04 | 1325 tok/s | fwd_bwd 6000ms data 0ms clip 20ms optim 111ms step 6135ms mem 1452/3311MB
step 239,240 | loss 0.6980 | lr 2.43e-04 | 1323 tok/s | fwd_bwd 6073ms data 1ms clip 23ms optim 120ms step 6236ms mem 1493/3311MB
step 239,250 | loss 1.2729 | lr 2.43e-04 | 1328 tok/s | fwd_bwd 6049ms data 0ms clip 20ms optim 112ms step 6185ms mem 1493/3311MB
step 239,260 | loss 1.3786 | lr 2.43e-04 | 1325 tok/s | fwd_bwd 6031ms data 0ms clip 20ms optim 113ms step 6172ms mem 1493/3311MB
step 239,270 | loss 1.2147 | lr 2.43e-04 | 1323 tok/s | fwd_bwd 6027ms data 0ms clip 20ms optim 112ms step 6165ms mem 1452/3311MB
step 239,280 | loss 2.0155 | lr 2.43e-04 | 1322 tok/s | fwd_bwd 6056ms data 1ms clip 20ms optim 112ms step 6208ms mem 1493/3311MB
step 239,290 | loss 2.0981 | lr 2.43e-04 | 1322 tok/s | fwd_bwd 6064ms data 0ms clip 20ms optim 112ms step 6205ms mem 1493/3311MB
step 239,300 | loss 1.5719 | lr 2.43e-04 | 1320 tok/s | fwd_bwd 6094ms data 1ms clip 21ms optim 111ms step 6245ms mem 1493/3311MB
step 239,310 | loss 1.6386 | lr 2.43e-04 | 1297 tok/s | fwd_bwd 6091ms data 0ms clip 20ms optim 112ms step 6233ms mem 1493/3311MB
step 239,320 | loss 0.4127 | lr 2.43e-04 | 1312 tok/s | fwd_bwd 6128ms data 1ms clip 20ms optim 112ms step 6270ms mem 1493/3311MB
step 239,330 | loss 1.2350 | lr 2.43e-04 | 1305 tok/s | fwd_bwd 6141ms data 1ms clip 22ms optim 118ms step 6302ms mem 1493/3311MB
step 239,340 | loss 1.4391 | lr 2.43e-04 | 1313 tok/s | fwd_bwd 6114ms data 1ms clip 23ms optim 119ms step 6276ms mem 1493/3311MB
step 239,350 | loss 1.7626 | lr 2.43e-04 | 1322 tok/s | fwd_bwd 6065ms data 0ms clip 20ms optim 112ms step 6203ms mem 1451/3311MB
step 239,360 | loss 0.3313 | lr 2.43e-04 | 1317 tok/s | fwd_bwd 6060ms data 1ms clip 20ms optim 112ms step 6208ms mem 1452/3311MB
step 239,370 | loss 1.2139 | lr 2.43e-04 | 1317 tok/s | fwd_bwd 6069ms data 1ms clip 21ms optim 111ms step 6212ms mem 1493/3311MB
step 239,380 | loss 1.9420 | lr 2.43e-04 | 1319 tok/s | fwd_bwd 6026ms data 0ms clip 20ms optim 112ms step 6164ms mem 1452/3311MB
step 239,390 | loss 0.1023 | lr 2.43e-04 | 1314 tok/s | fwd_bwd 5957ms data 0ms clip 20ms optim 112ms step 6097ms mem 1493/3311MB
step 239,400 | loss 0.9919 | lr 2.43e-04 | 1314 tok/s | fwd_bwd 6115ms data 1ms clip 23ms optim 120ms step 6277ms mem 1493/3311MB
step 239,410 | loss 2.4299 | lr 2.43e-04 | 1315 tok/s | fwd_bwd 5991ms data 1ms clip 20ms optim 111ms step 6136ms mem 1452/3311MB
