Resuming from checkpoint: checkpoints/step_285847
  Resumed at step 285847

============================================================
  Unrealistic 187M — Training
  Parameters: 189,748,992
  Dtype: bfloat16
  Optimizer: AdamW (mlx)
  Micro-batch: 1 × 8 accum
  Effective batch: 8
  Memory: 536 MB
============================================================

step 286,210 | loss 4.1049 | lr 9.83e-05 | 1338 tok/s | fwd_bwd 2907ms data 1ms clip 21ms optim 113ms step 3052ms mem 1493/2439MB
step 286,220 | loss 3.7671 | lr 9.83e-05 | 1338 tok/s | fwd_bwd 2858ms data 1ms clip 24ms optim 120ms step 3025ms mem 1493/2439MB
step 286,230 | loss 0.2055 | lr 9.83e-05 | 1337 tok/s | fwd_bwd 2878ms data 1ms clip 24ms optim 125ms step 3049ms mem 1493/2439MB
step 286,240 | loss 2.2695 | lr 9.83e-05 | 1333 tok/s | fwd_bwd 2888ms data 1ms clip 24ms optim 123ms step 3055ms mem 1493/2439MB
step 286,250 | loss 0.2855 | lr 9.83e-05 | 1328 tok/s | fwd_bwd 3005ms data 1ms clip 24ms optim 121ms step 3172ms mem 1493/2439MB
step 286,260 | loss 0.1923 | lr 9.83e-05 | 1329 tok/s | fwd_bwd 2927ms data 1ms clip 20ms optim 111ms step 3075ms mem 1493/2439MB
step 286,270 | loss 0.2413 | lr 9.83e-05 | 1321 tok/s | fwd_bwd 2970ms data 1ms clip 20ms optim 112ms step 3117ms mem 1452/2439MB
step 286,280 | loss 0.9818 | lr 9.83e-05 | 1317 tok/s | fwd_bwd 3007ms data 1ms clip 24ms optim 123ms step 3175ms mem 1493/2439MB
step 286,290 | loss 2.9047 | lr 9.83e-05 | 1318 tok/s | fwd_bwd 2867ms data 1ms clip 20ms optim 111ms step 3016ms mem 1493/2439MB
step 286,300 | loss 3.7753 | lr 9.83e-05 | 1323 tok/s | fwd_bwd 2865ms data 1ms clip 20ms optim 111ms step 3016ms mem 1493/2439MB
step 286,310 | loss 3.2608 | lr 9.83e-05 | 1323 tok/s | fwd_bwd 2899ms data 1ms clip 24ms optim 120ms step 3065ms mem 1493/2439MB
step 286,320 | loss 0.2998 | lr 9.83e-05 | 1323 tok/s | fwd_bwd 2916ms data 1ms clip 22ms optim 120ms step 3079ms mem 1493/2439MB
step 286,330 | loss 0.2234 | lr 9.83e-05 | 1322 tok/s | fwd_bwd 2916ms data 1ms clip 24ms optim 124ms step 3086ms mem 1493/2439MB
step 286,340 | loss 2.8291 | lr 9.83e-05 | 1325 tok/s | fwd_bwd 2904ms data 1ms clip 24ms optim 121ms step 3072ms mem 1493/2439MB
step 286,350 | loss 0.6075 | lr 9.83e-05 | 1323 tok/s | fwd_bwd 2857ms data 1ms clip 20ms optim 112ms step 2998ms mem 1493/2439MB
step 286,360 | loss 4.6259 | lr 9.83e-05 | 1316 tok/s | fwd_bwd 2958ms data 1ms clip 23ms optim 122ms step 3126ms mem 1493/2439MB
step 286,370 | loss 0.3066 | lr 9.83e-05 | 1319 tok/s | fwd_bwd 2959ms data 1ms clip 23ms optim 119ms step 3125ms mem 1493/2439MB
step 286,380 | loss 3.8180 | lr 9.83e-05 | 1318 tok/s | fwd_bwd 2924ms data 1ms clip 24ms optim 122ms step 3091ms mem 1493/2439MB
step 286,390 | loss 0.5248 | lr 9.83e-05 | 1311 tok/s | fwd_bwd 2941ms data 1ms clip 20ms optim 112ms step 3094ms mem 1493/2439MB
step 286,400 | loss 3.2068 | lr 9.83e-05 | 1321 tok/s | fwd_bwd 2900ms data 1ms clip 24ms optim 122ms step 3066ms mem 1493/2439MB
step 286,410 | loss 0.2342 | lr 9.83e-05 | 1312 tok/s | fwd_bwd 2900ms data 1ms clip 24ms optim 123ms step 3069ms mem 1493/2439MB
step 286,420 | loss 3.6447 | lr 9.83e-05 | 1310 tok/s | fwd_bwd 2941ms data 1ms clip 23ms optim 124ms step 3111ms mem 1493/2439MB
step 286,430 | loss 0.2654 | lr 9.83e-05 | 1313 tok/s | fwd_bwd 2809ms data 0ms clip 20ms optim 112ms step 2948ms mem 1470/2439MB
step 286,440 | loss 2.0574 | lr 9.83e-05 | 1319 tok/s | fwd_bwd 2901ms data 1ms clip 24ms optim 122ms step 3070ms mem 1493/2439MB
step 286,450 | loss 0.2504 | lr 9.83e-05 | 1318 tok/s | fwd_bwd 2958ms data 1ms clip 24ms optim 120ms step 3122ms mem 1493/2439MB
step 286,460 | loss 2.7046 | lr 9.83e-05 | 1326 tok/s | fwd_bwd 2862ms data 1ms clip 20ms optim 111ms step 3007ms mem 1493/2439MB
step 286,470 | loss 0.2121 | lr 9.83e-05 | 1327 tok/s | fwd_bwd 2844ms data 1ms clip 20ms optim 112ms step 2988ms mem 1493/2439MB
step 286,480 | loss 0.2028 | lr 9.83e-05 | 1320 tok/s | fwd_bwd 2860ms data 1ms clip 20ms optim 115ms step 3006ms mem 1493/2439MB
step 286,490 | loss 0.3972 | lr 9.83e-05 | 1313 tok/s | fwd_bwd 2898ms data 1ms clip 24ms optim 122ms step 3066ms mem 1452/2439MB
step 286,500 | loss 0.3129 | lr 9.83e-05 | 1324 tok/s | fwd_bwd 2952ms data 1ms clip 20ms optim 111ms step 3103ms mem 1493/2439MB
  [eval] step 286500 | val_loss 2.3197 | ppl 10.17
Checkpoint saved: checkpoints/step_286500
  [samples] wrote checkpoints/step_286500/samples.txt
  Pruning old checkpoint: checkpoints/step_285500
step 286,510 | loss 0.3085 | lr 9.83e-05 | 577 tok/s | fwd_bwd 2877ms data 1ms clip 20ms optim 111ms step 3029ms mem 1493/2439MB
step 286,520 | loss 4.0211 | lr 9.83e-05 | 1329 tok/s | fwd_bwd 2825ms data 1ms clip 20ms optim 111ms step 2973ms mem 1492/2439MB
step 286,530 | loss 0.9721 | lr 9.83e-05 | 1332 tok/s | fwd_bwd 2921ms data 1ms clip 20ms optim 112ms step 3062ms mem 1493/2439MB
step 286,540 | loss 3.1875 | lr 9.83e-05 | 1324 tok/s | fwd_bwd 3027ms data 1ms clip 24ms optim 122ms step 3195ms mem 1493/2439MB
step 286,550 | loss 3.2950 | lr 9.83e-05 | 1336 tok/s | fwd_bwd 2858ms data 1ms clip 20ms optim 113ms step 3011ms mem 1493/2439MB
step 286,560 | loss 0.2869 | lr 9.83e-05 | 1348 tok/s | fwd_bwd 2803ms data 1ms clip 24ms optim 122ms step 2969ms mem 1493/2439MB
step 286,570 | loss 1.7325 | lr 9.83e-05 | 1347 tok/s | fwd_bwd 2839ms data 1ms clip 24ms optim 125ms step 3010ms mem 1493/2439MB
step 286,580 | loss 1.5113 | lr 9.83e-05 | 1343 tok/s | fwd_bwd 2933ms data 1ms clip 24ms optim 121ms step 3099ms mem 1493/2439MB
step 286,590 | loss 1.4770 | lr 9.83e-05 | 1343 tok/s | fwd_bwd 2828ms data 1ms clip 20ms optim 112ms step 2981ms mem 1493/2439MB
step 286,600 | loss 0.2905 | lr 9.83e-05 | 1344 tok/s | fwd_bwd 2901ms data 1ms clip 20ms optim 111ms step 3046ms mem 1493/2439MB
step 286,610 | loss 3.8911 | lr 9.83e-05 | 1346 tok/s | fwd_bwd 2825ms data 1ms clip 24ms optim 122ms step 2991ms mem 1493/2439MB
step 286,620 | loss 1.2179 | lr 9.83e-05 | 1347 tok/s | fwd_bwd 2860ms data 1ms clip 23ms optim 121ms step 3026ms mem 1493/2439MB
step 286,630 | loss 0.2311 | lr 9.83e-05 | 1350 tok/s | fwd_bwd 2829ms data 1ms clip 20ms optim 111ms step 2974ms mem 1493/2439MB
step 286,640 | loss 0.2751 | lr 9.83e-05 | 1330 tok/s | fwd_bwd 3202ms data 1ms clip 24ms optim 121ms step 3360ms mem 1493/2439MB
step 286,650 | loss 0.1851 | lr 9.83e-05 | 1318 tok/s | fwd_bwd 2885ms data 1ms clip 24ms optim 124ms step 3055ms mem 1493/2439MB
step 286,660 | loss 0.3613 | lr 9.83e-05 | 1339 tok/s | fwd_bwd 2864ms data 1ms clip 24ms optim 122ms step 3032ms mem 1489/2439MB
step 286,670 | loss 4.1194 | lr 9.83e-05 | 1340 tok/s | fwd_bwd 2866ms data 1ms clip 23ms optim 120ms step 3032ms mem 1493/2439MB
step 286,680 | loss 0.2006 | lr 9.83e-05 | 1341 tok/s | fwd_bwd 2856ms data 1ms clip 23ms optim 122ms step 3024ms mem 1493/2439MB
step 286,690 | loss 0.1710 | lr 9.83e-05 | 1333 tok/s | fwd_bwd 2884ms data 1ms clip 24ms optim 121ms step 3052ms mem 1493/2439MB
step 286,700 | loss 0.1716 | lr 9.83e-05 | 1335 tok/s | fwd_bwd 2881ms data 1ms clip 24ms optim 122ms step 3049ms mem 1493/2439MB
step 286,710 | loss 0.2098 | lr 9.83e-05 | 1330 tok/s | fwd_bwd 2963ms data 1ms clip 23ms optim 120ms step 3128ms mem 1493/2439MB
step 286,720 | loss 2.0373 | lr 9.83e-05 | 1328 tok/s | fwd_bwd 2867ms data 1ms clip 24ms optim 121ms step 3033ms mem 1493/2439MB
step 286,730 | loss 0.2771 | lr 9.82e-05 | 1328 tok/s | fwd_bwd 2896ms data 1ms clip 24ms optim 123ms step 3065ms mem 1493/2439MB
step 286,740 | loss 0.1624 | lr 9.82e-05 | 1325 tok/s | fwd_bwd 2879ms data 1ms clip 24ms optim 124ms step 3049ms mem 1488/2439MB
step 286,750 | loss 1.5884 | lr 9.82e-05 | 1326 tok/s | fwd_bwd 2866ms data 1ms clip 24ms optim 122ms step 3031ms mem 1493/2439MB
step 286,760 | loss 0.3341 | lr 9.82e-05 | 1320 tok/s | fwd_bwd 2917ms data 1ms clip 24ms optim 121ms step 3083ms mem 1493/2439MB
step 286,770 | loss 0.3456 | lr 9.82e-05 | 1310 tok/s | fwd_bwd 2908ms data 1ms clip 20ms optim 112ms step 3060ms mem 1493/2439MB
step 286,780 | loss 0.2783 | lr 9.82e-05 | 1299 tok/s | fwd_bwd 2964ms data 1ms clip 24ms optim 124ms step 3131ms mem 1493/2439MB
step 286,790 | loss 0.2105 | lr 9.82e-05 | 1297 tok/s | fwd_bwd 2963ms data 1ms clip 24ms optim 122ms step 3132ms mem 1493/2439MB
step 286,800 | loss 3.4670 | lr 9.82e-05 | 1294 tok/s | fwd_bwd 2918ms data 1ms clip 24ms optim 124ms step 3088ms mem 1493/2439MB
step 286,810 | loss 0.2496 | lr 9.82e-05 | 1304 tok/s | fwd_bwd 2896ms data 1ms clip 21ms optim 112ms step 3041ms mem 1493/2439MB
step 286,820 | loss 0.2093 | lr 9.82e-05 | 1303 tok/s | fwd_bwd 2892ms data 1ms clip 20ms optim 111ms step 3033ms mem 1493/2439MB
step 286,830 | loss 0.2922 | lr 9.82e-05 | 1302 tok/s | fwd_bwd 3018ms data 1ms clip 20ms optim 111ms step 3169ms mem 1493/2439MB
step 286,840 | loss 0.2150 | lr 9.82e-05 | 1302 tok/s | fwd_bwd 2920ms data 1ms clip 24ms optim 121ms step 3087ms mem 1493/2439MB
step 286,850 | loss 0.2176 | lr 9.82e-05 | 1301 tok/s | fwd_bwd 2922ms data 1ms clip 23ms optim 124ms step 3092ms mem 1493/2439MB
step 286,860 | loss 0.8390 | lr 9.82e-05 | 1304 tok/s | fwd_bwd 2933ms data 1ms clip 24ms optim 123ms step 3101ms mem 1493/2439MB
step 286,870 | loss 0.2852 | lr 9.82e-05 | 1306 tok/s | fwd_bwd 2930ms data 1ms clip 24ms optim 121ms step 3095ms mem 1493/2439MB
step 286,880 | loss 0.1991 | lr 9.82e-05 | 1308 tok/s | fwd_bwd 2920ms data 1ms clip 25ms optim 117ms step 3084ms mem 1488/2439MB
step 286,890 | loss 0.3388 | lr 9.82e-05 | 1308 tok/s | fwd_bwd 2930ms data 1ms clip 24ms optim 124ms step 3100ms mem 1493/2439MB
step 286,900 | loss 0.1938 | lr 9.82e-05 | 1308 tok/s | fwd_bwd 2912ms data 1ms clip 20ms optim 112ms step 3057ms mem 1493/2439MB
step 286,910 | loss 0.2557 | lr 9.82e-05 | 1304 tok/s | fwd_bwd 2946ms data 1ms clip 24ms optim 122ms step 3113ms mem 1493/2439MB
step 286,920 | loss 0.2488 | lr 9.82e-05 | 1307 tok/s | fwd_bwd 2920ms data 1ms clip 24ms optim 123ms step 3090ms mem 1493/2439MB
step 286,930 | loss 0.2062 | lr 9.82e-05 | 1302 tok/s | fwd_bwd 2937ms data 1ms clip 23ms optim 121ms step 3103ms mem 1493/2439MB
step 286,940 | loss 0.1956 | lr 9.82e-05 | 1304 tok/s | fwd_bwd 3030ms data 1ms clip 24ms optim 120ms step 3196ms mem 1493/2439MB
step 286,950 | loss 0.2768 | lr 9.82e-05 | 1305 tok/s | fwd_bwd 3051ms data 1ms clip 24ms optim 123ms step 3220ms mem 1493/2439MB
step 286,960 | loss 0.2092 | lr 9.82e-05 | 1304 tok/s | fwd_bwd 3055ms data 1ms clip 24ms optim 121ms step 3221ms mem 1493/2439MB
step 286,970 | loss 0.2737 | lr 9.82e-05 | 1309 tok/s | fwd_bwd 2856ms data 1ms clip 20ms optim 111ms step 2999ms mem 1493/2439MB
step 286,980 | loss 0.2909 | lr 9.82e-05 | 1303 tok/s | fwd_bwd 2997ms data 1ms clip 24ms optim 122ms step 3163ms mem 1493/2439MB
step 286,990 | loss 0.2726 | lr 9.82e-05 | 1297 tok/s | fwd_bwd 2970ms data 1ms clip 23ms optim 120ms step 3136ms mem 1493/2439MB
step 287,000 | loss 0.2005 | lr 9.82e-05 | 1309 tok/s | fwd_bwd 2917ms data 1ms clip 20ms optim 113ms step 3064ms mem 1493/2439MB
  [eval] step 287000 | val_loss 2.2148 | ppl 9.16
Checkpoint saved: checkpoints/step_287000
  [samples] wrote checkpoints/step_287000/samples.txt
  Pruning old checkpoint: checkpoints/step_285847
Checkpoint saved: checkpoints/step_287000
step 287,010 | loss 0.2787 | lr 9.82e-05 | 539 tok/s | fwd_bwd 2909ms data 1ms clip 20ms optim 112ms step 3053ms mem 1493/2439MB
step 287,020 | loss 0.2510 | lr 9.82e-05 | 1296 tok/s | fwd_bwd 2889ms data 1ms clip 20ms optim 112ms step 3034ms mem 1493/2439MB
step 287,030 | loss 0.2209 | lr 9.82e-05 | 1302 tok/s | fwd_bwd 3006ms data 1ms clip 24ms optim 124ms step 3174ms mem 1452/2439MB
step 287,040 | loss 0.2377 | lr 9.82e-05 | 1303 tok/s | fwd_bwd 2955ms data 1ms clip 23ms optim 123ms step 3125ms mem 1493/2439MB
step 287,050 | loss 0.2469 | lr 9.82e-05 | 1306 tok/s | fwd_bwd 2945ms data 1ms clip 23ms optim 123ms step 3114ms mem 1493/2439MB
step 287,060 | loss 3.4842 | lr 9.82e-05 | 1309 tok/s | fwd_bwd 3019ms data 1ms clip 24ms optim 123ms step 3188ms mem 1493/2439MB
step 287,070 | loss 0.2742 | lr 9.82e-05 | 1304 tok/s | fwd_bwd 2915ms data 1ms clip 20ms optim 112ms step 3067ms mem 1493/2439MB
step 287,080 | loss 3.4494 | lr 9.82e-05 | 1304 tok/s | fwd_bwd 2986ms data 1ms clip 24ms optim 123ms step 3154ms mem 1452/2439MB
step 287,090 | loss 0.2507 | lr 9.82e-05 | 1312 tok/s | fwd_bwd 2902ms data 1ms clip 24ms optim 119ms step 3068ms mem 1493/2439MB
step 287,100 | loss 0.2987 | lr 9.82e-05 | 1309 tok/s | fwd_bwd 2927ms data 1ms clip 20ms optim 112ms step 3076ms mem 1493/2439MB
step 287,110 | loss 0.2104 | lr 9.82e-05 | 1310 tok/s | fwd_bwd 2890ms data 1ms clip 20ms optim 112ms step 3033ms mem 1493/2439MB
step 287,120 | loss 0.3360 | lr 9.82e-05 | 1306 tok/s | fwd_bwd 2877ms data 1ms clip 20ms optim 112ms step 3020ms mem 1493/2439MB
step 287,130 | loss 0.1663 | lr 9.82e-05 | 1304 tok/s | fwd_bwd 2893ms data 1ms clip 20ms optim 112ms step 3037ms mem 1493/2439MB
step 287,140 | loss 0.2448 | lr 9.82e-05 | 1302 tok/s | fwd_bwd 2898ms data 1ms clip 20ms optim 112ms step 3045ms mem 1493/2439MB
step 287,150 | loss 0.3113 | lr 9.82e-05 | 1304 tok/s | fwd_bwd 2876ms data 1ms clip 20ms optim 112ms step 3020ms mem 1493/2439MB
step 287,160 | loss 0.2996 | lr 9.82e-05 | 1305 tok/s | fwd_bwd 2879ms data 1ms clip 20ms optim 112ms step 3021ms mem 1493/2439MB
step 287,170 | loss 0.1799 | lr 9.82e-05 | 1306 tok/s | fwd_bwd 2997ms data 1ms clip 23ms optim 123ms step 3165ms mem 1489/2439MB
step 287,180 | loss 0.2577 | lr 9.82e-05 | 1308 tok/s | fwd_bwd 2927ms data 1ms clip 23ms optim 124ms step 3098ms mem 1493/2439MB
step 287,190 | loss 0.3695 | lr 9.82e-05 | 1309 tok/s | fwd_bwd 3015ms data 1ms clip 24ms optim 124ms step 3184ms mem 1492/2439MB
step 287,200 | loss 0.2679 | lr 9.82e-05 | 1307 tok/s | fwd_bwd 3005ms data 1ms clip 24ms optim 124ms step 3174ms mem 1493/2439MB
step 287,210 | loss 0.1767 | lr 9.82e-05 | 1311 tok/s | fwd_bwd 3013ms data 1ms clip 22ms optim 119ms step 3177ms mem 1493/2439MB
step 287,220 | loss 0.3127 | lr 9.82e-05 | 1312 tok/s | fwd_bwd 2977ms data 1ms clip 24ms optim 125ms step 3148ms mem 1493/2439MB
step 287,230 | loss 0.1648 | lr 9.82e-05 | 1303 tok/s | fwd_bwd 2967ms data 1ms clip 24ms optim 121ms step 3135ms mem 1493/2439MB
step 287,240 | loss 0.2748 | lr 9.82e-05 | 1304 tok/s | fwd_bwd 2939ms data 1ms clip 24ms optim 124ms step 3110ms mem 1493/2439MB
step 287,250 | loss 0.2258 | lr 9.82e-05 | 1310 tok/s | fwd_bwd 2907ms data 1ms clip 20ms optim 112ms step 3047ms mem 1493/2439MB
step 287,260 | loss 0.2080 | lr 9.82e-05 | 1301 tok/s | fwd_bwd 2994ms data 1ms clip 24ms optim 124ms step 3165ms mem 1493/2439MB
step 287,270 | loss 3.1738 | lr 9.82e-05 | 1303 tok/s | fwd_bwd 3044ms data 1ms clip 23ms optim 119ms step 3210ms mem 1493/2439MB
